Geographic area,Female,Male
Afghanistan,12.6,20.3
Albania,2.1,3.4
Algeria,3.1,4.3
Angola,10.4,8.9
Armenia,2.7,4.9
Bangladesh,5.2,6.4
Barbados,0.8,1.7
Belarus,1.0,0.9
Belize,1.2,3.2
Benin,16.1,17.9
Bhutan,1.7,1.6
Bolivia (Plurinational State of),9.0,13.0
Brazil,2.0,4.6
Burkina Faso,30.1,40.1
Burundi,19.4,21.5
Cambodia,12.2,10.8
Cameroon,32.8,38.5
Central African Republic,22.5,22.0
Chad,33.4,33.9
Chile,1.4,3.3
Colombia,2.0,3.8
Comoros,20.1,20.6
Congo,11.7,9.9
Costa Rica,0.5,1.5
C̫te d'Ivoire,15.8,19.3
Democratic People's Republic of Korea,3.7,4.3
Democratic Republic of the Congo,22.8,20.5
Dominican Republic,5.8,7.9
Ecuador,2.9,3.3
Egypt,1.4,5.6
El Salvador,3.0,6.6
Eswatini,5.7,6.5
Ethiopia,13.4,23.8
Gabon,13.7,16.1
Gambia,12.0,15.5
Georgia,0.9,2.1
Ghana,17.6,17.4
Guatemala,4.6,11.4
Guinea,17.8,21.1
Guinea-Bissau,33.3,34.6
Guyana,11.1,9.7
Haiti,20.2,22.4
Honduras,4.3,11.5
India,3.1,5.3
Iraq,1.9,4.3
Jamaica,2.2,3.1
Jordan,0.2,2.2
Kyrgyzstan,15.6,24.2
Lao People's Democratic Republic,26.3,26.2
Lesotho,5.4,11.1
Liberia,11.0,14.6
Malawi,16.1,18.9
Mali,7.7,12.9
Mauritania,10.4,14.8
Mexico,2.1,5.1
Mongolia,6.5,9.1
Montenegro,8.5,9.8
Myanmar,7.6,8.7
Nepal,19.3,19.2
Nicaragua,17.9,33.3
Niger,27.3,29.9
Nigeria,27.5,29.9
North Macedonia,6.2,7.2
Pakistan,5.1,12.4
Panama,1.6,3.2
Paraguay,11.5,19.4
Peru,13.3,13.3
Philippines,3.5,5.1
Rwanda,3.2,3.9
Saint Lucia,1.4,2.4
Sao Tome and Principe,13.7,12.7
Senegal,8.6,25.7
Serbia,6.5,7.8
Sierra Leone,19.6,22.5
Solomon Islands,13.8,13.8
South Africa,1.3,2.4
State of Palestine,5.2,9.6
Sudan,15.2,19.3
Suriname,2.4,4.4
Togo,17.6,20.6
Trinidad and Tobago,0.8,0.7
Tunisia,1.1,2.4
Turkmenistan,0.1,0.4
Uganda,11.8,14.7
Ukraine,2.1,2.2
United Republic of Tanzania,21.3,24.2
Uruguay,2.3,5.1
Vanuatu,15.8,14.2
Viet Nam,12.5,11.9
Zambia,20.1,20.2
Zimbabwe,19.0,31.8
