,time,gender,sexuallity,age,income,race,bodyweight,friends,social_fear,depressed,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
0,5/17/2016 20:04:18,Male,Straight,35,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,Employed for wages,mechanical drafter,Associate degree,None
1,5/17/2016 20:04:30,Male,Bisexual,21,"$1 to $10,000",White non-Hispanic,Underweight,0.0,Yes,Yes,No,Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups
2,5/17/2016 20:04:58,Male,Straight,22,$0,White non-Hispanic,Overweight,10.0,Yes,Yes,No,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise
3,5/17/2016 20:08:01,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Overweight,8.0,Yes,Yes,No,A student,student,"Some college, no degree",Joined a gym/go to the gym
4,5/17/2016 20:08:04,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,10.0,No,Yes,No,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None
5,5/17/2016 20:09:09,Male,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,2.0,Yes,Yes,Yes,Employed for wages,game programmer,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
6,5/17/2016 20:10:56,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,2.0,Yes,Yes,No,Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None
7,5/17/2016 20:11:13,Female,Gay/Lesbian,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,Yes,Yes,Yes,Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling"
8,5/17/2016 20:11:52,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,0.0,Yes,Yes,No,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy"
9,5/17/2016 20:13:37,Male,Straight,33,"$50,000 to $74,999",White non-Hispanic,Overweight,6.0,Yes,Yes,Yes,Employed for wages,Software Engineer ,Master’s degree,Therapy
10,5/17/2016 20:17:40,Female,Straight,32,"$50,000 to $74,999",Hispanic (of any race),Overweight,5.0,No,No,No,Employed for wages,Nurse,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
11,5/17/2016 20:18:37,Male,Straight,25,"$1 to $10,000",Asian,Normal weight,0.0,Yes,Yes,Yes,Employed for wages,Freight associate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
12,5/17/2016 20:26:57,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,20.0,No,No,No,A student,Student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
13,5/17/2016 20:30:21,Female,Straight,23,$0,White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Unable to work,NEET,"High school graduate, diploma or the equivalent (for example: GED)",None
14,5/17/2016 20:30:26,Male,Straight,22,"$30,000 to $39,999",Hispanic (of any race),Normal weight,0.0,No,Yes,No,Employed for wages,broker,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
15,5/17/2016 20:30:49,Male,Straight,23,$0,White non-Hispanic,Underweight,6.0,No,Yes,No,Retired,Student,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
16,5/17/2016 20:32:26,Female,Straight,29,"$1 to $10,000",white and asian,Normal weight,5.0,Yes,Yes,No,Out of work and looking for work,Intern,Bachelor’s degree,"Cosmetic survey, Therapy, Other exercise, forced myself to free events or events w/acquintances advertised in fb; been part of a blog for five years and met some members in person"
17,5/17/2016 20:34:35,Male,Straight,21,"$1 to $10,000",Asian,Normal weight,12.0,No,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
18,5/17/2016 20:39:14,Male,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,5.0,Yes,Yes,Yes,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise"
19,5/17/2016 20:40:22,Male,Straight,29,"$75,000 to $99,999",caucasian,Normal weight,1.0,Yes,Yes,No,Employed for wages,Surveyor,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
20,5/17/2016 20:41:29,Male,Straight,32,"$10,000 to $19,999",White non-Hispanic,Normal weight,10.0,Yes,Yes,No,Employed for wages,Part time computer Tutor,Bachelor’s degree,"Joined a gym/go to the gym, Therapy"
21,5/17/2016 20:42:09,Female,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,8.0,Yes,Yes,No,A student,Student,"Some college, no degree",join clubs/socual clubs/meet ups
22,5/17/2016 20:42:10,Male,Straight,24,$0,Hispanic (of any race),Normal weight,40.0,Yes,Yes,No,A student,student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise"
23,5/17/2016 20:44:36,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,10.0,No,No,No,A student,Kitchen staff,Bachelor’s degree,None
24,5/17/2016 20:46:31,Male,Straight,21,"$20,000 to $29,999",White non-Hispanic,Normal weight,5.0,Yes,Yes,No,Employed for wages,Software Developer,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
25,5/17/2016 20:48:14,Female,Straight,17,$0,White non-Hispanic,Underweight,5.0,Yes,No,No,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, None"
26,5/17/2016 20:48:28,Male,Straight,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,3.0,No,No,No,Employed for wages,Guy,Trade/technical/vocational training,Joined a gym/go to the gym
27,5/17/2016 20:59:07,Male,Straight,17,$0,White non-Hispanic,Normal weight,5.0,Yes,Yes,No,A student,none (?),"Some high school, no diploma",None
28,5/17/2016 21:00:47,Female,Straight,28,$0,Asian,Normal weight,1.0,Yes,Yes,No,A student,student,Bachelor’s degree,None
29,5/17/2016 21:01:09,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Underweight,0.0,Yes,No,No,A student,Peon,"Some college, no degree","Therapy, Other exercise"
30,5/17/2016 21:08:26,Male,Straight,17,$0,Asian,Underweight,5.0,Yes,No,No,A student,,"Some high school, no diploma",None
31,5/17/2016 21:15:34,Male,Straight,25,"$1 to $10,000",White non-Hispanic,Underweight,6.0,Yes,Yes,No,A student,Student,Bachelor’s degree,Joined a gym/go to the gym
32,5/17/2016 21:16:35,Male,Straight,17,$0,White non-Hispanic,Underweight,5.0,Yes,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
33,5/17/2016 21:25:17,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,13.0,No,Yes,No,Employed for wages,Chef,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
34,5/17/2016 21:34:10,Male,Straight,26,"$20,000 to $29,999",White non-Hispanic,Overweight,6.0,No,No,No,Employed for wages,Butcher,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
35,5/17/2016 21:38:39,Male,Straight,26,$0,White non-Hispanic,Normal weight,3.0,Yes,No,No,A student,"Medical student, year 4",Doctorate degree,None
36,5/17/2016 21:39:26,Male,Straight,23,"$75,000 to $99,999",White non-Hispanic,Normal weight,15.0,Yes,Yes,No,Employed for wages,Software full stack developer,Bachelor’s degree,"Therapy, Other exercise"
37,5/17/2016 21:45:04,Male,Straight,25,"$30,000 to $39,999",Asian,Overweight,8.0,Yes,Yes,No,A student,Junior BA,Bachelor’s degree,Joined a gym/go to the gym
38,5/17/2016 21:45:35,Male,Straight,18,$0,White non-Hispanic,Normal weight,17.0,No,Yes,No,A student,Cinema Student,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
39,5/17/2016 21:55:53,Male,Straight,19,$0,White non-Hispanic,Normal weight,40.0,No,No,No,A student,Engineer,Professional degree,None
40,5/17/2016 21:57:20,Male,Straight,19,"$1 to $10,000",Asian,Normal weight,15.0,No,No,No,A student,student,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
41,5/17/2016 22:01:48,Female,Straight,55,"$20,000 to $29,999",White non-Hispanic,Overweight,0.0,No,No,No,Employed for wages,Iternent peagogue,Bachelor’s degree,join clubs/socual clubs/meet ups
42,5/17/2016 22:12:58,Male,Straight,35,"$75,000 to $99,999",White non-Hispanic,Normal weight,5.0,No,Yes,No,Employed for wages,Software developer,Bachelor’s degree,join clubs/socual clubs/meet ups
43,5/17/2016 22:14:11,Male,Straight,24,$0,White non-Hispanic,Overweight,2.0,No,Yes,Yes,Out of work and looking for work,Admin Assistant,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
44,5/17/2016 22:15:22,Male,Straight,22,"$10,000 to $19,999",Black,Normal weight,0.0,Yes,No,No,Employed for wages,Cook,"High school graduate, diploma or the equivalent (for example: GED)",None
45,5/17/2016 22:19:27,Female,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,A student,Grad student ,Master’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
46,5/17/2016 22:20:28,Male,Straight,20,"$20,000 to $29,999",White non-Hispanic,Normal weight,5.0,No,No,No,Military,Aviation Electricians Mate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
47,5/17/2016 22:23:12,Male,Straight,25,$0,White non-Hispanic,Underweight,0.0,Yes,Yes,No,A student,student,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
48,5/17/2016 22:25:40,Male,Bisexual,18,$0,White non-Hispanic,Normal weight,10.0,Yes,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
49,5/17/2016 22:29:37,Male,Straight,29,"$150,000 to $174,999",White non-Hispanic,Overweight,3.0,Yes,Yes,No,Employed for wages,Software Engineer,Bachelor’s degree,Other exercise
50,5/17/2016 22:33:23,Male,Bisexual,24,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Out of work but not currently looking for work,Professional NEET,"Some college, no degree","Therapy, Other exercise"
51,5/17/2016 22:33:51,Female,Bisexual,23,"$1 to $10,000",White non-Hispanic,Normal weight,4.0,Yes,No,No,Employed for wages,Cashier,"Some college, no degree",Joined a gym/go to the gym
52,5/17/2016 22:38:33,Male,Straight,22,"$30,000 to $39,999",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Employed for wages,service desk analyst,"Some college, no degree",Joined a gym/go to the gym
53,5/17/2016 22:42:00,Male,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,6.0,No,Yes,No,A student,researcher,Master’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
54,5/17/2016 22:43:42,Male,Straight,18,$0,Black,Overweight,0.0,Yes,No,No,A student,,"High school graduate, diploma or the equivalent (for example: GED)",None
55,5/17/2016 22:44:08,Male,Straight,19,$0,White non-Hispanic,Underweight,10.0,Yes,No,No,Out of work but not currently looking for work,,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
56,5/17/2016 22:46:53,Male,Straight,33,"$10,000 to $19,999",Hispanic (of any race),Underweight,7.0,Yes,Yes,No,Employed for wages,loser,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise"
57,5/17/2016 22:49:46,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Overweight,1.0,Yes,Yes,No,Employed for wages,store clerk,Bachelor’s degree,join clubs/socual clubs/meet ups
58,5/17/2016 22:51:33,Female,Straight,21,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Out of work but not currently looking for work,NEET,"Some college, no degree","None, started taking some medication"
59,5/17/2016 22:52:38,Male,Straight,22,"$1 to $10,000",Hispanic (of any race),Normal weight,1.0,Yes,Yes,No,Employed for wages,Intern,Bachelor’s degree,None
60,5/17/2016 22:55:50,Male,Straight,24,"$20,000 to $29,999",White non-Hispanic,Overweight,20.0,No,Yes,No,Employed for wages,Management ,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
61,5/17/2016 22:56:02,Transgender male,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,4.0,Yes,No,No,Employed for wages,Engineering co-op student,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
62,5/17/2016 23:00:07,Male,Gay/Lesbian,25,"$20,000 to $29,999",White non-Hispanic,Normal weight,0.0,No,Yes,No,Employed for wages,Supervisor,Bachelor’s degree,Joined a gym/go to the gym
63,5/17/2016 23:08:07,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,No,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Clubbing, living in a student house (at dorms)"
64,5/17/2016 23:09:12,Male,Straight,16,"$1 to $10,000",White non-Hispanic,Underweight,8.0,Yes,Yes,Yes,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Therapy"
65,5/17/2016 23:09:32,Male,Straight,22,"$10,000 to $19,999",Middle Eastern,Normal weight,6.0,Yes,Yes,No,Employed for wages,IT,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
66,5/17/2016 23:12:04,Male,Straight,20,$0,White non-Hispanic,Overweight,4.0,No,No,No,A student,Software development ,"Some college, no degree",None
67,5/17/2016 23:13:32,Male,Straight,28,"$1 to $10,000",White non-Hispanic,Underweight,0.0,Yes,Yes,No,Out of work but not currently looking for work,bum,"High school graduate, diploma or the equivalent (for example: GED)",None
68,5/17/2016 23:13:58,Male,Straight,21,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Retired,None,"Some college, no degree",Talking to people
69,5/17/2016 23:15:14,Male,Straight,24,"$20,000 to $29,999",Asian,Overweight,8.0,No,Yes,No,A student,Grad Student,Master’s degree,"Other exercise, join clubs/socual clubs/meet ups"
70,5/17/2016 23:16:50,Male,Straight,38,"$1 to $10,000",White non-Hispanic,Overweight,0.0,Yes,Yes,Yes,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
71,5/17/2016 23:16:59,Male,Straight,24,"$10,000 to $19,999",half Arab,Overweight,4.0,No,Yes,No,Employed for wages,IT Technician,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups, Partying"
72,5/17/2016 23:19:44,Female,Straight,26,$0,White non-Hispanic,Underweight,5.0,Yes,Yes,No,A student,.,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
73,5/17/2016 23:22:00,Male,Straight,25,"$50,000 to $74,999",White non-Hispanic,Normal weight,0.0,Yes,No,No,Employed for wages,Engineer,Bachelor’s degree,None
74,5/17/2016 23:22:46,Male,Straight,45,"$20,000 to $29,999",White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,Employed for wages,laborer,"Some college, no degree","Therapy, Other exercise"
75,5/17/2016 23:24:12,Male,Straight,28,"$50,000 to $74,999",White non-Hispanic,Normal weight,12.0,Yes,Yes,Yes,Employed for wages,Software Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
76,5/17/2016 23:28:48,Male,Straight,21,$0,Hispanic (of any race),Normal weight,0.0,Yes,No,No,A student,Student ,"Some college, no degree",None
77,5/17/2016 23:29:37,Male,Straight,25,"$30,000 to $39,999",Asian,Normal weight,2.0,Yes,Yes,No,Employed for wages,Product Designer,Master’s degree,Other exercise
78,5/17/2016 23:29:47,Male,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,5.0,No,No,No,Employed for wages,Data entry,Bachelor’s degree,join clubs/socual clubs/meet ups
79,5/17/2016 23:33:57,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,2.0,Yes,Yes,No,A student,Student,"Some college, no degree","join clubs/socual clubs/meet ups, Practice various skills, such as writing and piano."
80,5/17/2016 23:34:25,Male,Straight,29,"$125,000 to $149,999",Black,Overweight,6.0,Yes,No,Yes,Self-employed,Engineer,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
81,5/17/2016 23:34:44,Male,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,4.0,Yes,No,No,Employed for wages,Sales,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
82,5/17/2016 23:48:02,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,10.0,No,No,No,A student,.,Bachelor’s degree,None
83,5/17/2016 23:50:25,Male,Straight,23,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,Yes,No,No,Out of work but not currently looking for work,.,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
84,5/17/2016 23:55:09,Male,Straight,30,$0,Hispanic (of any race),Underweight,1.0,Yes,No,No,Out of work but not currently looking for work,systems analyst,"Some college, no degree",Therapy
85,5/17/2016 23:58:39,Male,Straight,15,$0,White non-Hispanic,Normal weight,9.0,No,No,No,Employed for wages,freshman,"Some high school, no diploma",None
86,5/17/2016 23:59:22,Female,Straight,28,"$20,000 to $29,999",Black,Obese,0.0,Yes,No,No,A student,Coder,Associate degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
87,5/18/2016 0:02:54,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Overweight,5.0,Yes,Yes,No,A student,Undergraduate.,"Some college, no degree",None
88,5/18/2016 0:03:12,Male,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,30.0,No,Yes,No,A student,Medical Services,Trade/technical/vocational training,"Joined a gym/go to the gym, Other exercise"
89,5/18/2016 0:05:28,Male,Straight,29,"$20,000 to $29,999",Hispanic (of any race),Normal weight,4.0,No,Yes,No,Out of work and looking for work,Delivery guy,"Some college, no degree","Joined a gym/go to the gym, Therapy"
90,5/18/2016 0:07:31,Male,Straight,30,"$30,000 to $39,999",Hispanic (of any race),Overweight,5.0,No,Yes,No,Employed for wages,IT operations ,Bachelor’s degree,None
91,5/18/2016 0:10:56,Male,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Employed for wages,Engineer,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups, Change my lifestyle, eat healthy, etc"
92,5/18/2016 0:11:13,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,100.0,No,Yes,No,Employed for wages,Intermediate Call Center Representative,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
93,5/18/2016 0:14:54,Male,Straight,34,"$20,000 to $29,999",White non-Hispanic,Obese,0.0,Yes,Yes,No,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
94,5/18/2016 0:15:10,Male,Straight,23,$0,White non-Hispanic,Overweight,0.0,Yes,Yes,No,Out of work but not currently looking for work,.,Bachelor’s degree,None
95,5/18/2016 0:22:00,Male,Straight,22,"$20,000 to $29,999",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Employed for wages,Call Center Agent,"Some college, no degree",Other exercise
96,5/18/2016 0:23:17,Male,Straight,23,"$1 to $10,000",Hispanic (of any race),Normal weight,20.0,Yes,No,Yes,A student,Economist,Bachelor’s degree,Other exercise
97,5/18/2016 0:26:34,Male,Straight,30,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,Yes,Yes,No,Employed for wages,Farm hand,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
98,5/18/2016 0:28:30,Male,Bisexual,19,$0,White non-Hispanic,Overweight,0.0,Yes,Yes,No,A student,I have no job,"Some college, no degree",None
99,5/18/2016 0:35:13,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,6.0,Yes,Yes,Yes,A student,Undergraduate,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
100,5/18/2016 0:36:07,Male,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,6.0,No,No,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy"
101,5/18/2016 0:40:40,Male,Straight,16,$0,Hispanic (of any race),Overweight,0.0,Yes,Yes,Yes,A student,Loser,"Some high school, no diploma",Joined a gym/go to the gym
102,5/18/2016 0:40:52,Female,Straight,25,$0,White non-Hispanic,Normal weight,2.0,No,No,Yes,Unable to work,na,"Some college, no degree",None
103,5/18/2016 0:41:52,Male,Straight,19,$0,White non-Hispanic,Overweight,6.0,Yes,Yes,No,Unable to work,none,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
104,5/18/2016 0:44:01,Female,Bisexual,26,"$50,000 to $74,999",Hispanic (of any race),Normal weight,2.0,Yes,Yes,Yes,A student,Optometric tech,Master’s degree,Joined a gym/go to the gym
105,5/18/2016 0:45:43,Male,Straight,32,"$100,000 to $124,999",White non-Hispanic,Overweight,5.0,Yes,Yes,No,Employed for wages,Software Developer,Bachelor’s degree,Other exercise
106,5/18/2016 0:50:46,Male,Straight,28,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Out of work but not currently looking for work,NEET,"Some college, no degree",None
107,5/18/2016 0:50:50,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,4.0,No,No,No,Employed for wages,Worker,"Some college, no degree",Joined a gym/go to the gym
108,5/18/2016 0:51:07,Female,Straight,18,"$10,000 to $19,999",Asian,Normal weight,10.0,Yes,No,No,A student,Student. Part time web developer?,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
109,5/18/2016 0:54:09,Male,Straight,22,$0,Asian,Normal weight,0.0,Yes,No,No,Out of work and looking for work,Funemployed ,Bachelor’s degree,None
110,5/18/2016 0:57:21,Male,Straight,25,"$10,000 to $19,999",Black,Overweight,2.0,Yes,Yes,Yes,Out of work and looking for work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
111,5/18/2016 1:12:10,Male,Straight,19,"$30,000 to $39,999",Asian,Normal weight,1.0,No,Yes,No,A student,i/t support,Bachelor’s degree,"Cosmetic survey, Other exercise"
112,5/18/2016 1:13:28,Male,Straight,21,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,Yes,No,No,Military,Grunt,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
113,5/18/2016 1:13:43,Female,Straight,17,$0,Asian,Underweight,16.0,No,No,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
