,time,gender,sexuallity,age,income,race,bodyweight,friends,social_fear,depressed,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
231,5/18/2016 9:31:41,Male,Straight,22,"$10,000 to $19,999",White non-Hispanic,Normal weight,8.0,No,Yes,No,Self-employed,-,Bachelor’s degree,Joined a gym/go to the gym
232,5/18/2016 9:37:14,Male,Straight,24,"$10,000 to $19,999",Asian,Overweight,3.0,Yes,Yes,No,Employed for wages,Clerk,Bachelor’s degree,Joined a gym/go to the gym
233,5/18/2016 9:39:15,Male,Straight,31,"$20,000 to $29,999",White non-Hispanic,Normal weight,2.0,Yes,Yes,No,Employed for wages,S,"Some college, no degree",None
234,5/18/2016 9:42:24,Male,Straight,22,"$20,000 to $29,999",Asian,Normal weight,3.0,Yes,No,No,A student,Masters,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
235,5/18/2016 9:53:09,Male,Straight,20,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
236,5/18/2016 9:54:14,Female,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,1.0,Yes,Yes,Yes,A student,-,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, diets, change of wardrobe, medication, diet pills "
237,5/18/2016 9:54:39,Male,Straight,24,"$1 to $10,000",Black,Overweight,6.0,No,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
238,5/18/2016 9:55:57,Male,Straight,26,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,No,Unable to work,nothing,"Some college, no degree",None
239,5/18/2016 9:56:07,Male,Straight,22,$0,Asian,Normal weight,0.0,Yes,Yes,No,Out of work but not currently looking for work,None,"Some college, no degree",Joined a gym/go to the gym
240,5/18/2016 9:56:10,Male,Straight,26,"$30,000 to $39,999",White non-Hispanic,Overweight,4.0,Yes,Yes,No,Employed for wages,Storekeeper ,Bachelor’s degree,Joined a gym/go to the gym
241,5/18/2016 10:00:58,Male,Straight,24,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,No,Yes,No,A student,Research assistant ,Associate degree,None
242,5/18/2016 10:05:09,Male,Straight,18,$0,White non-Hispanic,Normal weight,20.0,No,Yes,No,A student,Student,Master’s degree,"Joined a gym/go to the gym, Other exercise"
243,5/18/2016 10:07:24,Male,Straight,18,$0,White non-Hispanic,Normal weight,6.0,Yes,Yes,No,A student,President,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
244,5/18/2016 10:09:50,Male,Straight,22,"$10,000 to $19,999",Black,Normal weight,5.0,No,Yes,Yes,Employed for wages,Sales,"Some college, no degree","Joined a gym/go to the gym, Therapy"
245,5/18/2016 10:18:15,Male,Straight,22,"$50,000 to $74,999",White non-Hispanic,Normal weight,15.0,No,No,No,Employed for wages,Technician ,"Some college, no degree",Other exercise
246,5/18/2016 10:18:29,Male,Straight,19,$0,White non-Hispanic,Normal weight,0.0,No,Yes,Yes,Out of work but not currently looking for work,Junkie,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise"
247,5/18/2016 10:19:13,Male,Straight,18,$0,Asian,Normal weight,0.0,Yes,Yes,No,A student,student,"Some college, no degree",None
248,5/18/2016 10:22:29,Male,Straight,21,$0,Indian,Normal weight,10.0,Yes,No,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
249,5/18/2016 10:28:46,Male,Straight,31,"$10,000 to $19,999",Mixed,Overweight,3.0,Yes,Yes,No,Employed for wages,Press operator,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
250,5/18/2016 10:34:31,Male,Bisexual,25,"$10,000 to $19,999",White non-Hispanic,Underweight,28.0,No,Yes,No,Out of work but not currently looking for work,N/a,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Self analysis "
251,5/18/2016 10:47:54,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,4.0,Yes,No,No,A student,Student,Bachelor’s degree,Other exercise
252,5/18/2016 10:48:04,Male,Straight,27,"$1 to $10,000",White non-Hispanic,Normal weight,10.0,Yes,Yes,No,Employed for wages,Cleaner,Bachelor’s degree,Other exercise
253,5/18/2016 10:56:14,Male,Straight,19,$0,White non-Hispanic,Obese,0.0,Yes,Yes,No,A student,--,"Some college, no degree",None
254,5/18/2016 11:01:31,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Underweight,2.0,Yes,Yes,No,Employed for wages,Technician,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
255,5/18/2016 11:07:19,Male,Bisexual,20,$0,White non-Hispanic,Underweight,0.0,No,No,No,A student,-,"High school graduate, diploma or the equivalent (for example: GED)",None
256,5/18/2016 11:17:49,Male,Straight,26,$0,White non-Hispanic,Overweight,3.0,Yes,No,No,Out of work but not currently looking for work,none,"Some high school, no diploma",Other exercise
257,5/18/2016 11:20:05,Male,Straight,31,"$30,000 to $39,999",White non-Hispanic,Normal weight,100.0,No,Yes,No,Employed for wages,Manager,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
258,5/18/2016 11:23:33,Male,Straight,18,$0,White non-Hispanic,Normal weight,3.0,Yes,Yes,Yes,Out of work and looking for work,None,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
259,5/18/2016 11:30:23,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Overweight,4.0,Yes,Yes,Yes,A student,Intern,Trade/technical/vocational training,"Joined a gym/go to the gym, Therapy"
260,5/18/2016 11:32:06,Male,Bisexual,28,"$30,000 to $39,999",White non-Hispanic,Overweight,10.0,Yes,Yes,No,Employed for wages,engineer,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
261,5/18/2016 11:35:47,Male,Straight,24,$0,White non-Hispanic,Overweight,1.0,Yes,Yes,No,A student,Web Developpeur,Bachelor’s degree,None
262,5/18/2016 11:38:32,Male,Straight,26,"$100,000 to $124,999",White non-Hispanic,Obese,0.0,Yes,Yes,No,Employed for wages,Software developer,Bachelor’s degree,Joined a gym/go to the gym
263,5/18/2016 11:40:44,Male,Straight,23,$0,White non-Hispanic,Normal weight,5.0,Yes,Yes,Yes,Out of work but not currently looking for work,Unemployed,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
264,5/18/2016 11:44:10,Female,Straight,27,"$50,000 to $74,999",White non-Hispanic,Normal weight,4.0,Yes,Yes,Yes,Employed for wages,Rather not say,Doctorate degree,"Cosmetic survey, Therapy"
265,5/18/2016 11:49:16,Male,Straight,33,"$1 to $10,000",White non-Hispanic,Normal weight,0.0,No,Yes,No,Out of work but not currently looking for work,Loser,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
266,5/18/2016 11:50:48,Female,Straight,26,$0,mixed,Normal weight,0.0,Yes,Yes,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",None
267,5/18/2016 11:56:49,Male,Straight,30,"$20,000 to $29,999",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Employed for wages,Warehouse associate,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, Dealer, keeps you in touch with a lot of different people"
268,5/18/2016 11:57:43,Male,Straight,24,$0,White non-Hispanic,Obese,2.0,Yes,Yes,No,A student,Student,Associate degree,Other exercise
269,5/18/2016 12:00:37,Male,Straight,44,"$125,000 to $149,999",White non-Hispanic,Normal weight,12.0,No,No,No,Employed for wages,Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
270,5/18/2016 12:18:45,Male,Straight,27,"$30,000 to $39,999",White non-Hispanic,Overweight,7.0,No,Yes,No,Employed for wages,Trainee Mechanical Engineer,Bachelor’s degree,"Therapy, join clubs/socual clubs/meet ups"
271,5/18/2016 12:28:26,Male,Straight,27,"$50,000 to $74,999",White non-Hispanic,Obese,5.0,Yes,No,No,Employed for wages,Teacher ,Bachelor’s degree,Other exercise
272,5/18/2016 12:29:40,Male,Straight,32,"$50,000 to $74,999",Asian,Normal weight,10.0,Yes,Yes,No,A homemaker,na,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
273,5/18/2016 12:35:10,Male,Straight,27,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,No,No,No,Employed for wages,engineer,Master’s degree,Joined a gym/go to the gym
274,5/18/2016 12:43:43,Male,Straight,20,$0,White non-Hispanic,Normal weight,0.0,No,Yes,No,A student,Student,Bachelor’s degree,Other exercise
275,5/18/2016 12:47:44,Male,Straight,18,$0,White non-Hispanic,Normal weight,5.0,No,No,No,A student,CGMA Sudent,"Some college, no degree",join clubs/socual clubs/meet ups
276,5/18/2016 13:09:29,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Employed for wages,cleaner,"Some high school, no diploma",Therapy
277,5/18/2016 13:14:18,Male,Straight,26,$0,White non-Hispanic,Normal weight,0.0,No,No,No,A student,-,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
278,5/18/2016 13:20:41,Male,Straight,22,$0,Black,Normal weight,25.0,Yes,Yes,Yes,Out of work and looking for work,Unemployed,"Some college, no degree","Joined a gym/go to the gym, Therapy"
279,5/18/2016 13:26:22,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,Employed for wages,Architectural Technician,Associate degree,None
280,5/18/2016 13:27:16,Female,Bisexual,41,$0,White non-Hispanic,Overweight,1.0,Yes,Yes,Yes,Out of work and looking for work,Librarian,"Some college, no degree","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
281,5/18/2016 14:09:34,Male,Straight,28,$0,Asian,Normal weight,4.0,Yes,Yes,No,Out of work and looking for work,None,Professional degree,Other exercise
282,5/18/2016 14:15:46,Male,Straight,29,"$50,000 to $74,999",Asian,Overweight,8.0,Yes,Yes,No,Employed for wages,Administrator,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
283,5/18/2016 14:18:29,Female,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,2.0,Yes,Yes,No,A student,,"Some college, no degree","Cosmetic survey, Therapy, join clubs/socual clubs/meet ups"
284,5/18/2016 14:18:35,Male,Straight,21,"$40,000 to $49,999",White non-Hispanic,Overweight,0.0,Yes,Yes,Yes,Employed for wages,IT,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
285,5/18/2016 14:22:02,Male,Straight,19,$0,Asian,Normal weight,20.0,No,No,No,A student,Intern,Bachelor’s degree,None
286,5/18/2016 14:22:58,Male,Straight,19,$0,White non-Hispanic,Underweight,1.0,Yes,Yes,No,A homemaker,Student,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
287,5/18/2016 14:27:25,Male,Straight,20,$0,Hispanic (of any race),Normal weight,7.0,Yes,Yes,No,A student,Undergrad student,"Some college, no degree",None
288,5/18/2016 14:27:31,Male,Straight,22,$0,White non-Hispanic,Normal weight,0.0,Yes,No,No,Out of work and looking for work,Unemployed,"Some college, no degree",None
289,5/18/2016 14:33:38,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Overweight,0.0,Yes,Yes,No,Employed for wages,Call operator,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
290,5/18/2016 14:37:56,Male,Bisexual,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,7.0,Yes,No,No,Employed for wages,Courier,"Some college, no degree","Joined a gym/go to the gym, Other exercise, Play live in a band. "
291,5/18/2016 14:52:26,Male,Straight,30,"$10,000 to $19,999",Mixed white/asian,Overweight,4.0,Yes,Yes,No,Employed for wages,Stockroom Assistant,Master’s degree,Joined a gym/go to the gym
292,5/18/2016 14:58:17,Male,Straight,30,"$50,000 to $74,999",White non-Hispanic,Normal weight,6.0,No,No,No,Employed for wages,Languages,Bachelor’s degree,Therapy
293,5/18/2016 15:02:09,Male,Straight,22,$0,Mixed,Normal weight,0.0,Yes,Yes,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
294,5/18/2016 15:14:25,Male,Straight,26,"$40,000 to $49,999",White non-Hispanic,Normal weight,3.0,No,No,No,Employed for wages,Engineer,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
295,5/18/2016 15:39:29,Male,Straight,36,"$40,000 to $49,999",White non-Hispanic,Obese,0.0,Yes,Yes,No,Employed for wages,clerk,"Some college, no degree",None
296,5/18/2016 15:43:14,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,8.0,Yes,No,No,A student,Grad student,Bachelor’s degree,Other exercise
297,5/18/2016 15:49:52,Male,Bisexual,16,"$1 to $10,000",White non-Hispanic,Underweight,0.0,Yes,Yes,Yes,A student,Herder,"High school graduate, diploma or the equivalent (for example: GED)",Called suicide hotlines
298,5/18/2016 15:56:31,Female,Straight,25,"$10,000 to $19,999",Asian,Normal weight,20.0,No,Yes,No,Employed for wages,designer,Bachelor’s degree,join clubs/socual clubs/meet ups
299,5/18/2016 16:06:26,Female,Straight,37,"$10,000 to $19,999",Asian,Normal weight,1.0,No,No,No,Employed for wages,Administrative Officer,Bachelor’s degree,Joined a gym/go to the gym
300,5/18/2016 16:10:52,Male,Straight,24,$0,White non-Hispanic,Underweight,2.0,Yes,Yes,No,Unable to work,/,"Some college, no degree","Therapy, Other exercise"
301,5/18/2016 16:16:17,Male,Straight,21,$0,indian,Overweight,0.0,No,Yes,No,A student,student,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
302,5/18/2016 16:26:15,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Overweight,4.0,Yes,No,No,A student,Gardener/Student,"Some high school, no diploma","Therapy, join clubs/socual clubs/meet ups"
303,5/18/2016 16:30:50,Male,Straight,23,$0,White non-Hispanic,Normal weight,20.0,No,No,No,Out of work and looking for work,unemployed,Bachelor’s degree,None
304,5/18/2016 16:45:55,Male,Straight,29,"$20,000 to $29,999",Asian,Overweight,0.0,Yes,Yes,No,Employed for wages,cook,"Some high school, no diploma",None
305,5/18/2016 16:54:02,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,12.0,No,Yes,No,Self-employed,Entrepreneur,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
306,5/18/2016 17:06:18,Male,Straight,18,$0,White non-Hispanic,Normal weight,20.0,Yes,No,No,A student,student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
307,5/18/2016 17:21:23,Male,Straight,21,$0,White non-Hispanic,Underweight,2.0,Yes,Yes,No,Out of work and looking for work,No Job,"High school graduate, diploma or the equivalent (for example: GED)",None
308,5/18/2016 17:23:36,Male,Straight,18,$0,Asian,Normal weight,8.0,No,No,No,A student,Student ,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
309,5/18/2016 17:26:15,Male,Straight,20,"$40,000 to $49,999",White non-Hispanic,Normal weight,10.0,No,Yes,No,Military,.,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
310,5/18/2016 17:35:04,Male,Straight,39,"$30,000 to $39,999",Asian,Normal weight,10.0,No,No,Yes,Employed for wages,Cst analyst,"Some college, no degree","Joined a gym/go to the gym, Therapy"
311,5/18/2016 17:38:45,Male,Straight,30,"$75,000 to $99,999",Multi,Normal weight,15.0,No,No,No,Employed for wages,Engineer,Master’s degree,Joined a gym/go to the gym
312,5/18/2016 17:41:25,Male,Bisexual,19,$0,White non-Hispanic,Overweight,1.0,Yes,Yes,No,Out of work and looking for work,Artist,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
313,5/18/2016 17:50:03,Male,Straight,19,$0,White non-Hispanic,Normal weight,20.0,No,Yes,No,A student,Student,"Some college, no degree",None
314,5/18/2016 18:11:01,Male,Straight,26,"$50,000 to $74,999",Asian,Normal weight,60.0,No,No,No,Employed for wages,Research Associate,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
315,5/18/2016 18:19:32,Male,Straight,22,"$50,000 to $74,999",White non-Hispanic,Obese,600.0,No,No,No,Employed for wages,Insurance agent. ,"Some college, no degree",Joined a gym/go to the gym
316,5/18/2016 18:22:30,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Underweight,0.0,Yes,Yes,No,Employed for wages,mechanic,Trade/technical/vocational training,None
317,5/18/2016 18:29:58,Male,Straight,18,$0,White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,Self-employed,Programmer,"Some high school, no diploma",Other exercise
318,5/18/2016 18:31:55,Male,Straight,15,$0,Hispanic (of any race),Overweight,5.0,No,Yes,No,Unable to work,student,"Some high school, no diploma","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
319,5/18/2016 18:32:30,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,1.0,Yes,Yes,Yes,A student,student?,"Some college, no degree",Joined a gym/go to the gym
320,5/18/2016 18:44:01,Male,Straight,26,"$10,000 to $19,999",White non-Hispanic,Overweight,1.0,Yes,Yes,No,Employed for wages,Sales Associate,Bachelor’s degree,None
321,5/18/2016 18:53:06,Male,Straight,30,"$20,000 to $29,999",White non-Hispanic,Overweight,5.0,No,No,No,Employed for wages,Teacher,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
322,5/18/2016 18:54:31,Male,Straight,38,"$50,000 to $74,999",White non-Hispanic,Overweight,7.0,Yes,Yes,Yes,Employed for wages,System Administrator,Trade/technical/vocational training,None
323,5/18/2016 18:55:04,Male,Straight,22,"$20,000 to $29,999",White non-Hispanic,Overweight,10.0,Yes,Yes,No,Employed for wages,Manager,"Some college, no degree",Joined a gym/go to the gym
324,5/18/2016 19:02:22,Female,Straight,20,"$50,000 to $74,999",Black,Normal weight,2.0,Yes,No,No,A student,Web desihner,Bachelor’s degree,None
325,5/18/2016 19:02:28,Male,Straight,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,1.0,Yes,Yes,No,Self-employed,Language teacher,"Some high school, no diploma",None
326,5/18/2016 19:10:28,Male,Straight,31,$0,White non-Hispanic,Normal weight,30.0,No,No,No,Out of work but not currently looking for work,none,Master’s degree,"Other exercise, join clubs/socual clubs/meet ups"
327,5/18/2016 19:11:07,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,20.0,Yes,Yes,No,A student,Student,"Some college, no degree",Other exercise
328,5/18/2016 19:11:37,Male,Straight,21,$0,White non-Hispanic,Overweight,2.0,Yes,No,No,Out of work and looking for work,none,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
329,5/18/2016 19:36:46,Male,Straight,23,"$1 to $10,000",White non-Hispanic,Overweight,3.0,Yes,Yes,No,A student,none,"Some college, no degree",None
330,5/18/2016 19:55:31,Male,Straight,20,$0,White non-Hispanic,Normal weight,5.0,Yes,No,No,Military,Student,Associate degree,"Other exercise, join clubs/socual clubs/meet ups"
331,5/18/2016 19:59:35,Female,Straight,27,"$30,000 to $39,999",Hispanic (of any race),Normal weight,3.0,No,No,No,Employed for wages,Sales manager,Bachelor’s degree,Joined a gym/go to the gym
332,5/18/2016 20:21:12,Male,Straight,30,$0,White non-Hispanic,Obese,0.0,No,No,No,A student,none,"Some college, no degree",None
333,5/18/2016 20:27:47,Male,Straight,23,$0,Asian,Overweight,4.0,No,Yes,Yes,A student,jpo;,"High school graduate, diploma or the equivalent (for example: GED)",None
334,5/18/2016 20:42:15,Male,Straight,25,"$1 to $10,000",Native American mix,Overweight,6.0,Yes,Yes,No,Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",Lose weight
335,5/18/2016 22:12:35,Female,Straight,22,"$10,000 to $19,999",White non-Hispanic,Normal weight,0.2,No,No,No,A student,None,Master’s degree,"Other exercise, join clubs/socual clubs/meet ups"
336,5/18/2016 22:25:37,Male,Straight,20,$0,White non-Hispanic,Normal weight,6.0,Yes,Yes,No,A student,student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy"
337,5/18/2016 22:44:29,Female,Straight,24,"$30,000 to $39,999",Hispanic (of any race),Overweight,10.0,No,Yes,No,Self-employed,Data and development,Bachelor’s degree,"Other exercise, Hair, makeup, clothing"
338,5/18/2016 22:47:23,Male,Straight,19,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,No,Yes,No,A student,Not working ,"Some college, no degree",Joined a gym/go to the gym
339,5/18/2016 22:51:34,Female,Bisexual,21,$0,Hispanic (of any race),Overweight,2.0,No,No,Yes,A student,Student,"Some college, no degree","Joined a gym/go to the gym, Therapy"
340,5/18/2016 23:00:50,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,5.0,No,No,No,Employed for wages,Cashier,"Some college, no degree",None
341,5/18/2016 23:21:49,Female,Bisexual,23,"$10,000 to $19,999",Black,Normal weight,3.0,Yes,Yes,Yes,Out of work and looking for work,Clerk,Master’s degree,"Other exercise, join clubs/socual clubs/meet ups"
342,5/18/2016 23:37:23,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,3.0,Yes,Yes,No,Self-employed,Graphic designer,Associate degree,Other exercise
343,5/18/2016 23:46:31,Male,Straight,18,$0,White non-Hispanic,Overweight,5.0,Yes,Yes,No,A student,Student,"Some high school, no diploma",join clubs/socual clubs/meet ups
344,5/18/2016 23:56:57,Female,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,2.0,Yes,Yes,No,A student,student,"Some college, no degree",Other exercise
345,5/19/2016 0:13:35,Male,Straight,23,"$40,000 to $49,999",White non-Hispanic,Normal weight,0.0,No,No,No,Employed for wages,---,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
346,5/19/2016 0:51:23,Female,Bisexual,21,$0,Asian,Normal weight,0.0,Yes,Yes,No,A student,student,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups"
347,5/19/2016 0:57:15,Male,Straight,18,"$10,000 to $19,999",White non-Hispanic,Underweight,5.0,Yes,Yes,No,A student,Lawm Maintenance,"High school graduate, diploma or the equivalent (for example: GED)",None
348,5/19/2016 1:25:38,Female,Bisexual,20,$0,White non-Hispanic,Normal weight,15.0,Yes,Yes,No,A student,University Student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
349,5/19/2016 1:27:00,Male,Straight,20,"$1 to $10,000",Hispanic (of any race),Overweight,4.0,Yes,Yes,Yes,A student,Retail ,"Some college, no degree",Other exercise
350,5/19/2016 3:32:05,Male,Straight,18,$0,White non-Hispanic,Normal weight,3.0,No,Yes,Yes,Out of work and looking for work,Unemployed,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
351,5/19/2016 4:55:27,Male,Straight,25,$0,White non-Hispanic,Normal weight,0.0,No,Yes,No,A student,college,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
